설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,회전체면적,air_density,absolute_humidity,강수량(mm)
3.0,5.45,25.0,274.625,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.7880107536067218,0.6156614753256585,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,274.625,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.8290375725550416,0.559192903470747,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,328.50900000000007,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.8386705679454243,0.5446390350150266,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,357.91099999999994,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.8746197071393956,0.4848096202463373,0.0,1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,357.91099999999994,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.9063077870366498,0.4226182617406996,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,343.0,75.0,23.76398559206576,20.26023539830285,994.8863388599692,-0.9781476007338056,0.20791169081775943,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1519407639302328,17.27099930211593,0.0
3.0,5.45,25.0,405.22400000000005,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9902680687415704,0.13917310096006547,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,357.91099999999994,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9945218953682734,0.10452846326765299,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,343.0,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.992546151641322,0.12186934340514768,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,438.97599999999994,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9563047559630354,0.2923717047227367,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,25.0,512.0,80.0,25.348251298203476,21.308910361242013,994.8863388599692,-0.9510565162951536,0.30901699437494723,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.1512410908548119,18.42239925559032,0.0
3.0,5.45,26.0,571.7870000000001,80.0,26.899214655047444,22.281508690452647,994.8863388599692,-0.9902680687415704,0.13917310096006547,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,5026.548245743669,1.1467100410627016,19.484245514439504,0.0
3.0,5.45,26.0,636.0559999999999,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9848077530122081,0.17364817766692997,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,27.0,658.5029999999998,75.0,26.749021282720555,22.189873977576877,994.8863388599692,-0.9612616959383188,0.2756373558169994,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1429554737087904,19.31090149477427,0.0
3.0,5.45,27.0,571.7870000000001,70.0,24.96575319720585,21.061661468130573,994.8863388599692,-0.9702957262759966,0.24192189559966742,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,5026.548245743669,1.143737786162265,18.02350806178932,0.0
3.0,5.45,28.0,531.4409999999999,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.9612616959383188,0.2756373558169994,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,28.0,389.017,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.9743700647852352,0.22495105434386492,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,28.0,474.55199999999996,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.9612616959383188,0.2756373558169994,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,28.0,389.017,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.898794046299167,0.4383711467890774,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,28.0,328.50900000000007,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,28.0,262.14400000000006,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.8480480961564261,0.5299192642332047,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,28.0,226.98099999999997,70.0,26.469708710171567,22.01808599100652,994.8863388599692,-0.8191520442889918,0.573576436351046,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,5026.548245743669,1.1392822971955021,19.045803288444915,0.0
3.0,5.45,27.0,125.0,75.0,26.749021282720555,22.189873977576877,994.8863388599692,-0.7880107536067218,0.6156614753256585,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0,5026.548245743669,1.1429554737087904,19.31090149477427,0.0
3.0,5.45,27.0,68.92099999999998,75.0,26.749021282720555,22.189873977576877,994.8863388599692,-0.798635510047293,0.6018150231520479,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1429554737087904,19.31090149477427,0.0
3.0,5.45,26.0,39.303999999999995,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.7880107536067218,0.6156614753256585,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,21.951999999999995,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9510565162951536,0.30901699437494723,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,29.791000000000004,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9993908270190958,0.03489949670250128,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,39.303999999999995,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9902680687415703,-0.13917310096006583,0.0,1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,195.112,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9816271834476639,0.1908089953765451,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,103.82300000000001,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9876883405951378,0.15643446504023067,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,79.50699999999999,80.0,26.899214655047444,22.281508690452647,994.8863388599692,-0.992546151641322,0.12186934340514768,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,5026.548245743669,1.1467100410627016,19.484245514439504,0.0
3.0,5.45,26.0,50.653000000000006,75.0,25.21801373910698,21.22511833449202,994.8863388599692,-0.9986295347545738,-0.052335956242944306,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1474500425029162,18.266480169787034,0.0
3.0,5.45,26.0,32.76800000000001,80.0,26.899214655047444,22.281508690452647,994.8863388599692,-0.9510565162951535,-0.30901699437494756,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,5026.548245743669,1.1467100410627016,19.484245514439504,0.0
3.0,5.45,26.0,46.656000000000006,80.0,26.899214655047444,22.281508690452647,994.8863388599692,-0.913545457642601,-0.4067366430758001,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,5026.548245743669,1.1467100410627016,19.484245514439504,0.0
3.0,5.45,26.0,97.33599999999998,80.0,26.899214655047444,22.281508690452647,994.8863388599692,-0.9205048534524403,-0.3907311284892738,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.1467100410627016,19.484245514439504,0.0
3.0,5.45,27.0,46.656000000000006,80.0,28.532289368235254,23.254007094638023,994.8863388599692,-0.9510565162951535,-0.30901699437494756,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,27.0,0.3429999999999999,80.0,28.532289368235254,23.254007094638023,994.8863388599692,-0.5591929034707467,-0.8290375725550417,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,27.0,5.832000000000001,80.0,28.532289368235254,23.254007094638023,994.8863388599692,0.788010753606722,-0.6156614753256583,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,27.0,103.82300000000001,80.0,28.532289368235254,23.254007094638023,994.8863388599692,0.5735764363510459,-0.8191520442889919,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,28.0,287.496,75.0,28.360402189469536,23.154502352745638,994.8863388599692,0.5735764363510459,-0.8191520442889919,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.138455611899393,20.406217809048126,0.0
3.0,5.45,28.0,704.969,75.0,28.360402189469536,23.154502352745638,994.8863388599692,0.6293203910498374,-0.7771459614569709,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.138455611899393,20.406217809048126,0.0
3.0,5.45,29.0,681.4720000000002,70.0,28.05195539424156,22.97435476722864,994.8863388599692,0.6156614753256584,-0.7880107536067219,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,5026.548245743669,1.1348221814558301,20.11747827391924,0.0
3.0,5.45,29.0,729.0,70.0,28.05195539424156,22.97435476722864,994.8863388599692,0.5877852522924732,-0.8090169943749473,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,5026.548245743669,1.1348221814558301,20.11747827391924,0.0
3.0,5.45,29.0,571.7870000000001,70.0,28.05195539424156,22.97435476722864,994.8863388599692,0.45399049973954686,-0.8910065241883678,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,5026.548245743669,1.1348221814558301,20.11747827391924,0.0
3.0,5.45,28.0,681.4720000000002,75.0,28.360402189469536,23.154502352745638,994.8863388599692,0.3255681544571566,-0.9455185755993168,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.138455611899393,20.406217809048126,0.0
3.0,5.45,28.0,592.7040000000001,75.0,28.360402189469536,23.154502352745638,994.8863388599692,0.15643446504023098,-0.9876883405951377,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,5026.548245743669,1.138455611899393,20.406217809048126,0.0
3.0,5.45,27.0,729.0,80.0,28.532289368235254,23.254007094638023,994.8863388599692,-0.017452406437283637,-0.9998476951563913,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,27.0,753.5709999999999,80.0,28.532289368235254,23.254007094638023,994.8863388599692,-0.052335956242943564,-0.9986295347545738,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,27.0,830.5840000000001,80.0,28.532289368235254,23.254007094638023,994.8863388599692,-0.08715574274765794,-0.9961946980917455,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,1.1421731612553152,20.598294927759223,0.0
3.0,5.45,27.0,493.03900000000004,85.0,30.31555745374996,24.261413734032132,994.8863388599692,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,5026.548245743669,1.1413908488018403,21.885688360744176,0.0
3.0,5.45,27.0,729.0,85.0,30.31555745374996,24.261413734032132,994.8863388599692,0.06975647374412552,-0.9975640502598242,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,5026.548245743669,1.1413908488018403,21.885688360744176,0.0
3.0,5.45,27.0,250.04699999999997,90.0,32.098825539264666,25.21822789291274,994.8863388599692,-0.017452406437283637,-0.9998476951563913,0.0,1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,1061.2079999999999,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.17364817766693028,-0.984807753012208,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,912.6729999999998,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.12186934340514755,-0.992546151641322,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,1124.864,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.0871557427476582,-0.9961946980917455,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,804.3570000000002,95.0,33.882093624779365,26.129622100242905,994.8863388599692,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,27.0,636.0559999999999,95.0,33.882093624779365,26.129622100242905,994.8863388599692,-0.017452406437283637,-0.9998476951563913,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,27.0,681.4720000000002,95.0,33.882093624779365,26.129622100242905,994.8863388599692,-0.08715574274765794,-0.9961946980917455,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,27.0,729.0,95.0,33.882093624779365,26.129622100242905,994.8863388599692,0.05233595624294381,-0.9986295347545738,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,28.0,753.5709999999999,95.0,35.92317610666141,27.123174341362013,994.8863388599692,-0.13917310096006552,-0.9902680687415703,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,5026.548245743669,1.135148870714957,25.84787589146095,0.0
3.0,5.45,28.0,857.375,90.0,34.03248262736344,26.20505095987114,994.8863388599692,-0.017452406437283637,-0.9998476951563913,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,5026.548245743669,1.1359755560110658,24.487461370857744,0.0
3.0,5.45,28.0,704.969,90.0,34.03248262736344,26.20505095987114,994.8863388599692,-0.17364817766693047,-0.984807753012208,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,5026.548245743669,1.1359755560110658,24.487461370857744,0.0
3.0,5.45,28.0,551.3679999999998,85.0,32.14178914806547,25.241196966924083,994.8863388599692,-0.1045284632676535,-0.9945218953682733,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,29.0,592.7040000000001,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.2079116908177595,-0.9781476007338056,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,512.0,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.374606593415912,-0.9271838545667874,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,373.24800000000005,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.374606593415912,-0.9271838545667874,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,636.0559999999999,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.19080899537654472,-0.981627183447664,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,29.0,614.125,85.0,34.063088693007614,26.22090661340752,994.8863388599692,-0.34202014332566866,-0.9396926207859084,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,5026.548245743669,1.1322025770371604,24.428366475473368,0.0
3.0,5.45,28.0,571.7870000000001,85.0,32.14178914806547,25.241196966924083,994.8863388599692,-0.374606593415912,-0.9271838545667874,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,28.0,195.112,85.0,32.14178914806547,25.241196966924083,994.8863388599692,-0.06975647374412527,-0.9975640502598242,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,28.0,185.193,85.0,32.14178914806547,25.241196966924083,994.8863388599692,0.19080899537654497,-0.981627183447664,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0,5026.548245743669,1.136802241307175,23.127046850254537,0.0
3.0,5.45,27.0,226.98099999999997,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.13917310096006533,-0.9902680687415704,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,185.193,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.17364817766693028,-0.984807753012208,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,0.0
3.0,5.45,27.0,226.98099999999997,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.15643446504023098,-0.9876883405951377,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,1.7
3.0,5.45,27.0,287.496,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.05233595624294381,-0.9986295347545738,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,1.7
3.0,5.45,27.0,328.50900000000007,90.0,32.098825539264666,25.21822789291274,994.8863388599692,0.03489949670250114,-0.9993908270190958,0.0,1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,1.7
3.0,5.45,27.0,8.0,95.0,33.882093624779365,26.129622100242905,994.8863388599692,-0.19080899537654472,-0.981627183447664,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,27.0,8.0,95.0,33.882093624779365,26.129622100242905,994.8863388599692,-0.2079116908177595,-0.9781476007338056,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,5026.548245743669,1.1398262238948906,24.460475226714074,0.0
3.0,5.45,28.0,27.0,95.0,35.92317610666141,27.123174341362013,994.8863388599692,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,5026.548245743669,1.135148870714957,25.84787589146095,2.0
3.0,5.45,28.0,8.0,90.0,34.03248262736344,26.20505095987114,994.8863388599692,-0.15643446504023073,-0.9876883405951378,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,5026.548245743669,1.1359755560110658,24.487461370857744,2.0
3.0,5.45,28.0,8.0,90.0,34.03248262736344,26.20505095987114,994.8863388599692,-0.052335956242943564,-0.9986295347545738,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,5026.548245743669,1.1359755560110658,24.487461370857744,2.0
3.0,5.45,27.0,8.0,90.0,32.098825539264666,25.21822789291274,994.8863388599692,-0.3090169943749473,-0.9510565162951536,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,5026.548245743669,1.1406085363483656,23.17308179372913,2.0
3.0,5.45,27.0,8.0,,,,994.8863388599692,-0.06975647374412527,-0.9975640502598242,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,5026.548245743669,,,0.0
